"Reference","Value","Datasheet","Footprint","Qty","Spec"
"BTN1","KS01-BLV","~","Rumblesan_Standard_Parts:KS01-BLV","1",""
"C1,C3,C9","10uF","~","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","3","electrolytic"
"C2","1uF","~","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","1","electrolytic"
"C4,C5","10nF","~","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","2","ceramic C0G"
"C6,C7,C8","100nF","~","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","3","ceramic X7R"
"D1,D6,D7","1N4148","~","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","3",""
"D2,D3","1N5818","~","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","2",""
"D5","BAT41","~","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","1",""
"J1,J3,J4,J5","Eurorack Mono Jack","~","Rumblesan_Audio_Connectors:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical","4",""
"J2","Eurorack Power Small","","Rumblesan_Eurorack_Power:Eurorack_PowerHeader_2x05_P2.54mm_Shrouded","1",""
"J6,J8","Conn_01x10_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical","2",""
"J7,J9","Conn_01x10_Socket","~","Connector_PinSocket_2.54mm:PinSocket_1x10_P2.54mm_Vertical","2",""
"Q1,Q2,Q3,Q5","BC547","https://www.onsemi.com/pub/Collateral/BC550-D.pdf","Package_TO_SOT_THT:TO-92_Inline_Wide","4",""
"Q4","BS170","https://www.onsemi.com/pub/Collateral/BS170-D.PDF","Package_TO_SOT_THT:TO-92_Inline_Wide","1",""
"R1","100k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","metal film"
"R2,R3,R4,R6","22k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","4","metal film"
"R5","680r","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","metal film"
"R7,R10","100r","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2","metal film"
"R8","120r","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","metal film"
"R9","4k7","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","metal film"
"R11","1k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","metal film"
"R12","10k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","metal film"
"R13,R16","1M","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2","metal film"
"R14","10r","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","metal film"
"R15,R17","47k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2","metal film"
"R18","2k2","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","metal film"
"RV1,RV2,RV4","1MA","~","Rumblesan_Potentiometer_THT:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical","3",""
"RV3","10k","~","Rumblesan_Potentiometer_THT:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical","1",""
"SW1","SW_DPDT_x2","~","555-adsr:SW_DPDT_DailyWell_MiniToggle","1",""
"U1","ICM7555xP","http://www.intersil.com/content/dam/Intersil/documents/icm7/icm7555-56.pdf","Package_DIP:DIP-8_W7.62mm_Socket","1",""
"U2","LM358","http://www.ti.com/lit/ds/symlink/lm2904-n.pdf","Package_DIP:DIP-8_W7.62mm_Socket","1",""
